formation,permaticker,deploy_date,scheduled_exit_date,last_trade_date,event_type,clone_ids_hit
2016-03-31,119350,2016-04-01,2016-10-03,2016-05-27,DELISTED_OTHER,65
2016-03-31,182800,2016-04-01,2016-10-03,2016-06-02,ACQUIRED,56
2016-03-31,185101,2016-04-01,2016-10-03,2016-06-30,ACQUIRED,54
2016-03-31,191948,2016-04-01,2016-10-03,2016-04-29,ACQUIRED,42
2016-03-31,194291,2016-04-01,2016-10-03,2016-05-17,ACQUIRED,59
2016-03-31,196674,2016-04-01,2016-10-03,2016-06-20,ACQUIRED,49
2016-03-31,197152,2016-04-01,2016-10-03,2016-06-30,ACQUIRED,59
2016-03-31,197210,2016-04-01,2016-10-03,2016-05-11,ACQUIRED,52
2016-03-31,197286,2016-04-01,2016-10-03,2016-04-01,ACQUIRED,54
2016-03-31,198401,2016-04-01,2016-10-03,2016-05-20,ACQUIRED,60
2016-03-31,198495,2016-04-01,2016-10-03,2016-09-06,ACQUIRED,77
2016-03-31,199049,2016-04-01,2016-10-03,2016-06-30,ACQUIRED,64
2016-03-31,199096,2016-04-01,2016-10-03,2016-09-22,ACQUIRED,51
2016-03-31,573113,2016-04-01,2016-10-03,2016-09-02,ACQUIRED,55
2016-06-30,198495,2016-07-01,2017-01-03,2016-09-06,ACQUIRED,62
2016-06-30,199096,2016-07-01,2017-01-03,2016-09-22,ACQUIRED,65
2016-06-30,573113,2016-07-01,2017-01-03,2016-09-02,ACQUIRED,64
2016-09-30,194340,2016-10-03,2017-04-03,2017-02-24,ACQUIRED,67
2016-09-30,195867,2016-10-03,2017-04-03,2017-01-13,DELISTED_OTHER,60
2016-09-30,198417,2016-10-03,2017-04-03,2017-03-10,ACQUIRED,58
2016-09-30,198484,2016-10-03,2017-04-03,2017-03-10,ACQUIRED,58
2016-09-30,199178,2016-10-03,2017-04-03,2017-01-04,ACQUIRED,69
2017-03-31,113491,2017-04-03,2017-10-02,2017-06-16,ACQUIRED,62
2017-03-31,193321,2017-04-03,2017-10-02,2017-06-14,ACQUIRED,57
2017-03-31,195259,2017-04-03,2017-10-02,2017-07-24,ACQUIRED,63
2017-03-31,198012,2017-04-03,2017-10-02,2017-08-28,ACQUIRED,53
2017-03-31,198375,2017-04-03,2017-10-02,2017-07-03,ACQUIRED,64
2017-03-31,198486,2017-04-03,2017-10-02,2017-09-12,ACQUIRED,62
2017-03-31,199769,2017-04-03,2017-10-02,2017-08-31,ACQUIRED,55
2017-06-30,195259,2017-07-03,2018-01-02,2017-07-24,ACQUIRED,71
2017-06-30,198012,2017-07-03,2018-01-02,2017-08-28,ACQUIRED,68
2017-06-30,198375,2017-07-03,2018-01-02,2017-07-03,ACQUIRED,47
2017-06-30,198462,2017-07-03,2018-01-02,2017-10-31,ACQUIRED,59
2017-06-30,198486,2017-07-03,2018-01-02,2017-09-12,ACQUIRED,49
2017-06-30,199769,2017-07-03,2018-01-02,2017-08-31,ACQUIRED,45
2017-06-30,199915,2017-07-03,2018-01-02,2017-12-28,ACQUIRED,63
2018-12-31,119498,2019-01-02,2019-07-01,2019-03-20,DELISTED_OTHER,52
2018-12-31,194984,2019-01-02,2019-07-01,2019-03-20,ACQUIRED,71
2018-12-31,196648,2019-01-02,2019-07-01,2019-06-28,ACQUIRED,46
2018-12-31,197557,2019-01-02,2019-07-01,2019-02-12,ACQUIRED,70
2019-09-30,194695,2019-10-01,2020-04-01,2019-12-04,ACQUIRED,59
2019-09-30,195237,2019-10-01,2020-04-01,2020-01-23,ACQUIRED,67
2019-09-30,198310,2019-10-01,2020-04-01,2019-11-20,ACQUIRED,58
2019-09-30,198658,2019-10-01,2020-04-01,2019-12-06,ACQUIRED,62
2019-12-31,191420,2020-01-02,2020-07-01,2020-05-08,ACQUIRED,70
2019-12-31,195237,2020-01-02,2020-07-01,2020-01-23,ACQUIRED,63
2019-12-31,196736,2020-01-02,2020-07-01,2020-04-02,ACQUIRED,54
2020-03-31,191420,2020-04-01,2020-10-01,2020-05-08,ACQUIRED,56
2020-03-31,196736,2020-04-01,2020-10-01,2020-04-02,ACQUIRED,52
2020-06-30,197057,2020-07-01,2021-01-04,2020-10-02,ACQUIRED,55
2020-06-30,199485,2020-07-01,2021-01-04,2020-10-02,ACQUIRED,51
2020-09-30,194516,2020-10-01,2021-04-01,2021-01-15,ACQUIRED,53
2020-09-30,197057,2020-10-01,2021-04-01,2020-10-02,ACQUIRED,44
2020-09-30,199285,2020-10-01,2021-04-01,2021-01-06,ACQUIRED,64
2020-09-30,199485,2020-10-01,2021-04-01,2020-10-02,ACQUIRED,67
2020-12-31,194516,2021-01-04,2021-07-01,2021-01-15,ACQUIRED,63
2020-12-31,199000,2021-01-04,2021-07-01,2021-05-14,ACQUIRED,60
2020-12-31,199176,2021-01-04,2021-07-01,2021-04-14,ACQUIRED,65
2020-12-31,199285,2021-01-04,2021-07-01,2021-01-06,ACQUIRED,66
2021-03-31,197642,2021-04-01,2021-10-01,2021-07-21,ACQUIRED,62
2021-03-31,198698,2021-04-01,2021-10-01,2021-08-26,ACQUIRED,48
2021-03-31,199000,2021-04-01,2021-10-01,2021-05-14,ACQUIRED,55
2021-03-31,199176,2021-04-01,2021-10-01,2021-04-14,ACQUIRED,59
2021-06-30,197642,2021-07-01,2022-01-03,2021-07-21,ACQUIRED,67
2021-06-30,198698,2021-07-01,2022-01-03,2021-08-26,ACQUIRED,61
2021-06-30,199604,2021-07-01,2022-01-03,2021-12-13,ACQUIRED,75
2021-09-30,166332,2021-10-01,2022-04-01,2022-02-25,ACQUIRED,60
2021-09-30,198693,2021-10-01,2022-04-01,2022-02-11,ACQUIRED,54
2021-09-30,199604,2021-10-01,2022-04-01,2021-12-13,ACQUIRED,63
2021-12-31,119313,2022-01-03,2022-07-01,2022-04-08,DELISTED_OTHER,62
2021-12-31,166332,2022-01-03,2022-07-01,2022-02-25,ACQUIRED,59
2021-12-31,194273,2022-01-03,2022-07-01,2022-04-04,ACQUIRED,60
2021-12-31,198397,2022-01-03,2022-07-01,2022-06-07,ACQUIRED,57
2021-12-31,198693,2022-01-03,2022-07-01,2022-02-11,ACQUIRED,70
2022-03-31,119313,2022-04-01,2022-10-03,2022-04-08,DELISTED_OTHER,60
2022-03-31,194273,2022-04-01,2022-10-03,2022-04-04,ACQUIRED,66
2022-03-31,197912,2022-04-01,2022-10-03,2022-09-29,ACQUIRED,66
2022-03-31,198397,2022-04-01,2022-10-03,2022-06-07,ACQUIRED,56
2022-03-31,198539,2022-04-01,2022-10-03,2022-09-30,ACQUIRED,59
2022-06-30,187959,2022-07-01,2023-01-03,2022-10-27,ACQUIRED,63
2022-06-30,192873,2022-07-01,2023-01-03,2022-10-10,ACQUIRED,57
2022-06-30,197912,2022-07-01,2023-01-03,2022-09-29,ACQUIRED,70
2022-06-30,198315,2022-07-01,2023-01-03,2022-12-21,ACQUIRED,61
2022-06-30,198539,2022-07-01,2023-01-03,2022-09-30,ACQUIRED,62
2022-09-30,119243,2022-10-03,2023-04-03,2023-03-28,BANKRUPTCY_LIQUIDATION,64
2022-09-30,187959,2022-10-03,2023-04-03,2022-10-27,ACQUIRED,48
2022-09-30,192873,2022-10-03,2023-04-03,2022-10-10,ACQUIRED,66
2022-09-30,198315,2022-10-03,2023-04-03,2022-12-21,ACQUIRED,65
2022-09-30,198834,2022-10-03,2023-04-03,2023-03-28,BANKRUPTCY_LIQUIDATION,70
2023-03-31,119256,2023-04-03,2023-10-02,2023-05-03,DELISTED_OTHER,62
2023-06-30,198850,2023-07-03,2024-01-02,2023-10-12,ACQUIRED,58
